"species_name","species_ID","n_dishes_AB","germinated_total_AB","germination_rate_AB"
"Achillea millefolium","1",2,49,0.98
"Agrimonia eupatoria","2",2,16,0.32
"Anthoxanthum odoratum","3",2,32,0.64
"Anthyllis vulneraria","4",2,8,0.16
"Arrhenatherum elatius","5",2,25,0.5
"Briza media","6",2,47,0.94
"Bromus erectus","7",2,33,0.66
"Buphthalmum salicifolium","8",2,48,0.96
"Campanula glomerata","9",2,40,0.8
"Campanula patula","10",2,36,0.72
"Cardamine pratensis","11",2,43,0.86
"Carum carvi","12",2,16,0.32
"Centaurea scabiosa","13",2,15,0.3
"Clinopodium vulgare","14",2,38,0.76
"Crepis biennis","15",2,36,0.72
"Dactylis glomerata","16",2,45,0.9
"Dianthus carthusianorum","17",2,40,0.8
"Festuca rubra","18",2,40,0.8
"Galium album","19",2,43,0.86
"Galium verum","20",2,30,0.6
"Helianthemum nummularium","21",2,1,0.02
"Helictotrichon pubescens","22",2,35,0.7
"Holcus lanatus","23",2,44,0.88
"Hypericum perforatum","24",2,22,0.44
"Hypochaeris radicata","25",2,43,0.86
"Knautia arvensis","26",2,18,0.36
"Lathyrus pratensis","27",2,22,0.44
"Leontodon hispidus","28",2,47,0.94
"Leucanthemum ircutianum","29",2,46,0.92
"Lolium pratense","30",2,48,0.96
"Lotus corniculatus","31",2,49,0.98
"Molinia caerulea","33",2,4,0.08
"Origanum vulgare","34",2,34,0.68
"Phleum pratense","35",2,49,0.98
"Pimpinella major","36",2,29,0.58
"Plantago lanceolata","38",2,45,0.9
"Poa angustifolia","39",2,38,0.76
"Poa pratensis","40",2,43,0.86
"Primula veris","41",2,0,0
"Prunella vulgaris","42",2,41,0.82
"Ranunculus acris","43",2,35,0.7
"Rhinanthus alectorolophus","44",2,0,0
"Rhinanthus minor","45",2,0,0
"Rumex acetosa","46",2,22,0.44
"Salvia pratensis","47",2,34,0.68
"Sanguisorba officinalis","49",2,46,0.92
"Scabiosa columbaria","50",2,29,0.58
"Silene nutans","51",2,43,0.86
"Stachys recta","52",2,38,0.76
"Stellaria graminea","53",2,38,0.76
"Tragopogon pratensis","54",2,36,0.72
"Trifolium pratense","55",2,43,0.86
"Trisetum flavescens","56",2,47,0.94
"Vicia sepium","57",2,9,0.18
