"species_name","species_ID","germination_rate_AB","germination_rate_CD","long_strat_germination_rate","germination_rate_100"
"Achillea millefolium","1",0.98,NA,NA,0.98
"Agrimonia eupatoria","2",0.32,NA,NA,0.32
"Anthoxanthum odoratum","3",0.64,NA,NA,0.64
"Anthyllis vulneraria","4",0.16,NA,NA,0.16
"Arrhenatherum elatius","5",0.5,NA,NA,0.5
"Briza media","6",0.94,NA,NA,0.94
"Bromus erectus","7",0.66,NA,NA,0.66
"Buphthalmum salicifolium","8",0.96,NA,NA,0.96
"Campanula glomerata","9",0.8,NA,NA,0.8
"Campanula patula","10",0.72,NA,NA,0.72
"Cardamine pratensis","11",0.86,NA,NA,0.86
"Carum carvi","12",0.32,NA,NA,0.32
"Centaurea scabiosa","13",0.3,NA,NA,0.3
"Clinopodium vulgare","14",0.76,NA,NA,0.76
"Crepis biennis","15",0.72,NA,NA,0.72
"Dactylis glomerata","16",0.9,NA,NA,0.9
"Dianthus carthusianorum","17",0.8,NA,NA,0.8
"Festuca rubra","18",0.8,NA,NA,0.8
"Galium album","19",0.86,NA,NA,0.86
"Galium verum","20",0.6,NA,NA,0.6
"Helianthemum nummularium","21",0.02,NA,NA,0.02
"Helictotrichon pubescens","22",0.7,NA,NA,0.7
"Holcus lanatus","23",0.88,NA,NA,0.88
"Hypericum perforatum","24",0.44,NA,NA,0.44
"Hypochaeris radicata","25",0.86,NA,NA,0.86
"Knautia arvensis","26",0.36,NA,NA,0.36
"Lathyrus pratensis","27",0.44,NA,NA,0.44
"Leontodon hispidus","28",0.94,NA,NA,0.94
"Leucanthemum ircutianum","29",0.92,NA,NA,0.92
"Lolium pratense","30",0.96,NA,NA,0.96
"Lotus corniculatus","31",0.98,NA,NA,0.98
"Molinia caerulea","33",0.08,NA,NA,0.08
"Origanum vulgare","34",0.68,NA,NA,0.68
"Phleum pratense","35",0.98,NA,NA,0.98
"Pimpinella major","36",0.58,NA,NA,0.58
"Plantago lanceolata","38",0.9,NA,NA,0.9
"Poa angustifolia","39",0.76,NA,NA,0.76
"Poa pratensis","40",0.86,NA,NA,0.86
"Primula veris","41",0,NA,NA,0
"Prunella vulgaris","42",0.82,NA,NA,0.82
"Ranunculus acris","43",0.7,NA,NA,0.7
"Rhinanthus alectorolophus","44",0,NA,NA,0
"Rhinanthus minor","45",0,NA,NA,0
"Rumex acetosa","46",0.44,NA,NA,0.44
"Salvia pratensis","47",0.68,NA,NA,0.68
"Sanguisorba officinalis","49",0.92,NA,NA,0.92
"Scabiosa columbaria","50",0.58,NA,NA,0.58
"Silene nutans","51",0.86,NA,NA,0.86
"Stachys recta","52",0.76,NA,NA,0.76
"Stellaria graminea","53",0.76,NA,NA,0.76
"Tragopogon pratensis","54",0.72,NA,NA,0.72
"Trifolium pratense","55",0.86,NA,NA,0.86
"Trisetum flavescens","56",0.94,NA,NA,0.94
"Vicia sepium","57",0.18,NA,NA,0.18
